regime_id,split,option_type,q,early_exercise_risk,arm,repeat,measured_total_seconds,internal_total_seconds,solver_setup_seconds,initialization_seconds,lcp_finish_seconds,marcher_other_seconds,obstacle_transform_seconds,projected_sweep_seconds,inverse_transform_seconds,residual_audit_seconds,total_sweeps_or_iterations,converged,max_normalized_lcp_residual
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,18,0.009415375,0.009351167012937367,9.720900561660528e-05,0.0,0.006953044096007943,0.0023009139113128185,0.0003916313871741295,0.0047142531257122755,3.0206982046365738e-05,0.0017627187771722674,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,18,0.016594209000000002,0.016507375054061413,0.0,7.674540393054485e-05,0.014241951052099466,0.0021886785980314016,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,19,0.366914,0.36681912501808256,0.0,8.216558489948511e-05,0.36432892200537026,0.0024080374278128147,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,19,0.009417125,0.009356708033010364,9.8041957244277e-05,0.0,0.006949881091713905,0.0023087849840521812,0.00038746348582208157,0.00473384081851691,2.928928006440401e-05,0.001744513283483684,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,19,0.016698583,0.016635042033158243,0.0,7.79125839471817e-05,0.014380252454429865,0.002176876994781196,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,20,0.009398042,0.009342166944406927,8.916703518480062e-05,0.0,0.0069766726810485125,0.0022763272281736135,0.0003900490701198578,0.004745337879285216,2.9790797270834446e-05,0.001757260994054377,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,20,0.0166515,0.016581667005084455,0.0,7.636868394911289e-05,0.014352172380313277,0.002153125940822065,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,20,0.36152079200000004,0.36143704201094806,0.0,8.174602407962084e-05,0.3589759528404102,0.002379343146458268,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,projected_lu_single,21,0.009213083,0.009157708031125367,9.683403186500072e-05,0.0,0.006792926345951855,0.0022679476533085108,0.0003843373851850629,0.004612216143868864,3.0082883313298225e-05,0.0017125102458521724,120,True,9.332450840433225e-17
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,psor,21,0.363417875,0.36331875005271286,0.0,8.132844232022762e-05,0.36087037273682654,0.002367048873566091,0.0,0.0,0.0,0.0,5108,True,9.944167995387443e-13
call_T200_s060_r005_q010,stress_holdout,call,0.1,True,policy_iteration,21,0.016700041000000002,0.01663700002245605,0.0,7.787358481436968e-05,0.01430437620729208,0.0022547502303496003,0.0,0.0,0.0,0.0,155,True,8.66584720897371e-17
