representation,mode,singular_value,cumulative_energy
unaligned,58,0.0027485963164688787,0.9999999213964477
unaligned,59,0.0026417808791763292,0.999999926682722
unaligned,60,0.002581406015945311,0.999999931730134
unaligned,61,0.0024722053515209936,0.9999999363595393
unaligned,62,0.0023313599290588024,0.9999999404764814
unaligned,63,0.00229194196124558,0.9999999444553843
unaligned,64,0.002169371842972232,0.9999999480200936
unaligned,65,0.0020260523070554045,0.9999999511293562
unaligned,66,0.0020118271468393544,0.9999999541951113
unaligned,67,0.0019170919101861316,0.9999999569789367
unaligned,68,0.001836194860033971,0.9999999595327764
unaligned,69,0.0017795481924969129,0.9999999619314747
unaligned,70,0.0017492964538758928,0.9999999642493119
unaligned,71,0.0017244941002714726,0.9999999665018884
unaligned,72,0.0016710998061895764,0.9999999686171345
unaligned,73,0.0016539411833299113,0.9999999706891655
unaligned,74,0.001593694818003039,0.9999999726129943
unaligned,75,0.0015423629625171606,0.9999999744148884
unaligned,76,0.0015263377112269274,0.9999999761795336
unaligned,77,0.0014886016126285611,0.9999999778580017
unaligned,78,0.0013782503066186518,0.9999999792968409
unaligned,79,0.0013397468007187777,0.9999999806564109
unaligned,80,0.0012617266708497218,0.9999999818622426
unaligned,81,0.0012415878950606232,0.9999999830298882
unaligned,82,0.0011956984405765876,0.9999999841128159
unaligned,83,0.001185807277870665,0.999999985177901
unaligned,84,0.0011829573127322903,0.9999999862378728
unaligned,85,0.001119809344663024,0.9999999871876992
unaligned,86,0.001091678584055155,0.9999999880904038
unaligned,87,0.0010424674216855047,0.9999999889135579
unaligned,88,0.0010180722826366193,0.9999999896986368
unaligned,89,0.0009361749727762569,0.9999999903624872
unaligned,90,0.0009104627075096992,0.9999999909903726
unaligned,91,0.0008657258643473713,0.99999999155807
unaligned,92,0.0008398712623296732,0.9999999920923655
unaligned,93,0.0008115720613491682,0.9999999925912618
unaligned,94,0.0007453803674428186,0.999999993012097
unaligned,95,0.0007338950220106167,0.999999993420063
unaligned,96,0.0007043582163014423,0.9999999937958512
unaligned,97,0.000682428761767943,0.9999999941486043
unaligned,98,0.0006724870600280388,0.9999999944911542
unaligned,99,0.000639710272390275,0.9999999948011264
unaligned,100,0.0006349481785002248,0.9999999951065008
unaligned,101,0.0006230549308459845,0.9999999954005424
