case_name,case_family,sweep_name,stress_parameter,stress_value,option_type,K,T,r,q,sigma,Smax,M,N,target_tau_fraction,target_tau,nearest_tau,time_index,boundary_found,boundary_spot,boundary_moneyness,no_boundary_reason,min_boundary_spot,max_boundary_spot,max_continuation_premium_at_tau,mean_continuation_premium_at_tau_interpretation_region,downstream_use_status
dividend_call_r_030,dividend_call,call_interest_rate_sweep,r,0.03,call,1,1,0.03,0.08,0.2,4,120,120,0.5,0.5,0.5,60,True,1.19979660894,1.19979660894,,1.03332536454,1.23328217079,0.0457111196241,0.0043127838154,analytics_diagnostic_only
dividend_call_r_030,dividend_call,call_interest_rate_sweep,r,0.03,call,1,1,0.03,0.08,0.2,4,120,120,0.75,0.75,0.75,90,True,1.19998317542,1.19998317542,,1.03332536454,1.23328217079,0.0536105915592,0.0058805375375,analytics_diagnostic_only
dividend_call_r_030,dividend_call,call_interest_rate_sweep,r,0.03,call,1,1,0.03,0.08,0.2,4,120,120,1,1,1,120,True,1.23328217079,1.23328217079,,1.03332536454,1.23328217079,0.0596177590106,0.00722927857261,analytics_diagnostic_only
dividend_call_r_050,dividend_call,call_interest_rate_sweep,r,0.05,call,1,1,0.05,0.08,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.0661653907,1.0661653907,,1.0661653907,1.26663012494,0.00425969540186,0.000106915197766,analytics_diagnostic_only
dividend_call_r_050,dividend_call,call_interest_rate_sweep,r,0.05,call,1,1,0.05,0.08,0.2,4,120,120,0.25,0.25,0.25,30,True,1.1666350335,1.1666350335,,1.0661653907,1.26663012494,0.0357611784601,0.00271992288439,analytics_diagnostic_only
dividend_call_r_050,dividend_call,call_interest_rate_sweep,r,0.05,call,1,1,0.05,0.08,0.2,4,120,120,0.5,0.5,0.5,60,True,1.23208681214,1.23208681214,,1.0661653907,1.26663012494,0.0488665500449,0.00493590676481,analytics_diagnostic_only
dividend_call_r_050,dividend_call,call_interest_rate_sweep,r,0.05,call,1,1,0.05,0.08,0.2,4,120,120,0.75,0.75,0.75,90,True,1.23331276578,1.23331276578,,1.0661653907,1.26663012494,0.0580100140542,0.00686812415669,analytics_diagnostic_only
dividend_call_r_050,dividend_call,call_interest_rate_sweep,r,0.05,call,1,1,0.05,0.08,0.2,4,120,120,1,1,1,120,True,1.26663012494,1.26663012494,,1.0661653907,1.26663012494,0.0651311767989,0.00858934715201,analytics_diagnostic_only
dividend_call_r_080,dividend_call,call_interest_rate_sweep,r,0.08,call,1,1,0.08,0.08,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.06654900071,1.06654900071,,1.06654900071,1.36659299441,0.00438265798849,0.000115180893865,analytics_diagnostic_only
dividend_call_r_080,dividend_call,call_interest_rate_sweep,r,0.08,call,1,1,0.08,0.08,0.2,4,120,120,0.25,0.25,0.25,30,True,1.23318699838,1.23318699838,,1.06654900071,1.36659299441,0.038668807523,0.00325707372131,analytics_diagnostic_only
dividend_call_r_080,dividend_call,call_interest_rate_sweep,r,0.08,call,1,1,0.08,0.08,0.2,4,120,120,0.5,0.5,0.5,60,True,1.29983159231,1.29983159231,,1.06654900071,1.36659299441,0.0542337456588,0.00620941661498,analytics_diagnostic_only
dividend_call_r_080,dividend_call,call_interest_rate_sweep,r,0.08,call,1,1,0.08,0.08,0.2,4,120,120,0.75,0.75,0.75,90,True,1.33326152619,1.33326152619,,1.06654900071,1.36659299441,0.0655936055256,0.00892765996971,analytics_diagnostic_only
dividend_call_r_080,dividend_call,call_interest_rate_sweep,r,0.08,call,1,1,0.08,0.08,0.2,4,120,120,1,1,1,120,True,1.36659299441,1.36659299441,,1.06654900071,1.36659299441,0.0747415141334,0.0114474416768,analytics_diagnostic_only
call_heatmap_q_030_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.01,0.01,0.00833333333333,1,True,1.67301123573,1.67301123573,,1.67301123573,1.89785321428,0.00446741146877,0.000155013218291,analytics_diagnostic_only
call_heatmap_q_030_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.25,0.25,0.25,30,True,1.76580952579,1.76580952579,,1.67301123573,1.89785321428,0.0414474654459,0.00461925069539,analytics_diagnostic_only
call_heatmap_q_030_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.5,0.5,0.5,60,True,1.82664503226,1.82664503226,,1.67301123573,1.89785321428,0.0599096431819,0.00917366597383,analytics_diagnostic_only
call_heatmap_q_030_sigma_200,dividend_call,call_q_sigma_heatmap,q_sigma,0.03,call,1,1,0.05,0.03,0.2,4,120,120,0.75,0.75,0.75,90,True,1.86393626933,1.86393626933,,1.67301123573,1.89785321428,0.0741939822952,0.0136630025687,analytics_diagnostic_only
